CBSA,CBSA_NAME,HISPANIC_POP,POPULATION,BUSINESSES
28820,"Kinston, NC",4668,65787,1321
47580,"Warner Robins, GA",11036,183947,2952
42980,"Seymour, IN",2438,44100,1034
27100,"Jackson, MI",4804,160394,3022
22060,"Faribault-Northfield, MN",5147,67132,1550
19940,"Dixon, IL",1820,36829,726
34300,"Mountain Home, ID",4014,26745,426
47820,"Washington, NC",3497,49966,1163
36700,"Orangeburg, SC",1836,95198,1707
40660,"Rome, GA",8936,92476,1915
32380,"Mason City, IA",1847,51339,1545
17860,"Columbia, MO",4912,164741,4425
34020,"Morgan City, LA",2993,54767,1363
33740,"Monroe, LA",3718,177407,4477
40820,"Ruston, LA",1209,47866,989
11980,"Athens, TX",7832,70496,1156
49820,"Zapata, TX",12871,13798,162
16220,"Casper, WY",5231,75462,2894
25200,"Hailey, ID",5721,27495,1450
46860,"Vernal, UT",2240,30624,1114
23700,"Gallup, NM",9508,71825,998
45000,"Susanville, CA",6112,35502,456
24420,"Grants Pass, OR",5303,84366,1995
12740,"Barre, VT",998,60471,2230
35260,"New Castle, PA",1007,97736,2110
30820,"Lock Haven, PA",435,37205,745
43140,"Shelby, NC",2933,103683,1999
44940,"Sumter, SC",3576,109186,1786
24940,"Greenwood, SC",4059,93422,1692
41220,"St. Marys, GA",2590,50380,806
13980,"Blacksburg-Christiansburg-Radford, VA",3984,179344,3499
15220,"Brownwood, TX",7431,38106,917
30300,"Lewiston, ID-WA",1752,59589,1552
12100,"Atlantic City-Hammonton, NJ",46146,274441,6405
49620,"York-Hanover, PA",24237,432742,8441
40940,"Safford, AZ",10732,33243,499
14820,"Brevard, NC",986,33179,817
12820,"Bastrop, LA",268,28400,474
11900,"Athens, OH",1041,70777,1112
25700,"Hays, KS",1312,28502,1127
37740,"Payson, AZ",10521,56289,1016
27980,"Kahului-Wailuku-Lahaina, HI",15711,154924,4306
25940,"Hilton Head Island-Bluffton-Beaufort, SC",23270,184355,5187
42820,"Selma, AL",328,45309,789
46100,"Tullahoma-Manchester, TN",3022,96841,1914
26940,"Indianola, MS",415,28488,455
33220,"Midland, MI",1622,80279,1742
31820,"Manitowoc, WI",2577,80874,1801
